"school_id","nces_id","school_type","year"
1016,"210249000528","Public district school",2025
1018,"80002006502","Public charter school",2025
1022,"63492005916","Public district school",2025
1025,"250004600819","Public charter school",2025
1036,"292370001419","Public district school",2025
1037,"292358001547","Public district school",2025
1040,"60242607725","Public charter school",2025
1048,"530033403510","Public charter school",2025
1049,"180318000415","Public district school",2025
1057,"270040304850","Public charter school",2025
1072,NA,"Independent (private) school",2025
1088,"370132000560","Public district school",2025
1099,NA,"Public charter school",2025
1103,"110003000171","Public district school",2025
1111,"A1900585","Independent (private) school",2025
1114,NA,"Independent (private) school",2025
1116,"A2190344","Independent (private) school",2025
1120,NA,"Public district school",2025
1121,"421899007592","Public district school",2025
1123,NA,"Public district school",2025
