"school_name","canopy_id","nces_school_id","nces_school_type"
"Legacy Prep",400,10020102472,"Public charter school"
"University Charter School",401,10019902452,"Public charter school"
"i3 Academy",402,10020402476,"Public charter school"
"Desert Spirit School",403,40342002281,"Public district school"
"Palo Verde Elementary School",404,40171000111,"Public district school"
"Western School of Science and Technology",405,40092403436,"Public charter school"
"Bioscience High School",406,40633002670,"Public district school"
"Batesville Junior High School",407,50001900042,"Public charter school"
"Felicitas and Gonzalo Mendez High",409,62271012438,"Public district school"
"CHIME Institute's Schwarzenegger Community",410,60149008724,"Public charter school"
"Tomorrow's Leadership Collaborative (TLC) Charter",411,60227214331,"Public charter school"
"Renaissance Arts Academy",412,60176611314,"Public charter school"
"Audeo Charter School II",413,60185514028,"Public charter school"
"Crete Academy",414,60147014100,"Public charter school"
"Yu Ming Charter School",415,60201312901,"Public charter school"
"Chrysalis Charter School",416,60225311800,"Public charter school"
"Grant Beacon Middle School",417,80336000357,"Public district school"
"Kepner Beacon Middle School",418,80336006686,"Public district school"
"Escuela Valdez",419,80336000420,"Public district school"
"McGlone Academy",420,80336001276,"Public district school"
"Great Oaks Bridgeport",421,90021901782,"Public charter school"
"Inspired Teaching Demonstration Public Charter School",422,110008000437,"Public charter school"
"Ballou Senior High School",423,110003000084,"Public district school"
"Anacostia High School",424,110003000085,"Public district school"
"Promise Academy",425,110003100419,"Public charter school"
"Center City Congress Heights",426,110007300412,"Public charter school"
"Eden Park Elementary School",427,440024000047,"Public district school"
"City Charter High School",428,420009400663,"Public charter school"
"The Workshop School",429,421899007548,"Public district school"
"Building 21 Philadelphia",430,421899007534,"Public district school"
"The U School",431,421899007547,"Public district school"
"Charles Page High School",432,402688001405,"Public district school"
"The Urban Assembly School for Green Careers",433,360007806148,"Public district school"
"Urban Assembly Charter School For Computer Science",434,360118206634,"Public charter school"
"Pelham Gardens Middle School",435,360008806322,"Public district school"
"PS 76 The Bennington School",436,360008802306,"Public district school"
"Community Roots Charter School",437,360015905898,"Public charter school"
"PS 206 Jose Celso Barbosa",438,360007902694,"Public district school"
"Jasper High School",439,50824000545,"Public district school"
"The Museum School of Avondale Estates",440,130174004039,"Public charter school"
"Clearmont Elementary",441,171377001711,"Public district school"
"Noblesville High School",442,180765001309,"Public district school"
"Rooted School Indianapolis",443,180022402709,"Public charter school"
"PilotED Bethel Park",444,180020202661,"Public charter school"
"Lewisburg Elementary",445,210354001545,"Public district school"
"Eminence High School",446,210171000332,"Public district school"
"Mālama Honua Public Charter School",447,150003000299,"Public charter school"
"Ke Kula ʻo Samuel M. Kamakau, LPCS",448,150003000276,"Public charter school"
"Ke Kula ʻo Nāwahīokalaniʻōpuʻu Iki, LPCS",449,150003000284,"Public charter school"
"Lycée Français de la Nouvelle Orléans",450,220015902331,"Public charter school"
"Bricolage Academy",451,220028902364,"Public charter school"
"Nokomis Regional High",452,231478500729,"Public district school"
"Mattanawcook Junior High School",453,231477700789,"Public district school"
"Ella Burr Elementary",454,231477700787,"Public district school"
"Uxbridge High School",455,251185001938,"Public district school"
"High School for the Recording Arts",456,270016002955,"Public charter school"
"Dził Ditł'ooi School of Empowerment, Action, and Perseverance (DEAP)",457,350017401113,"Public charter school"
"The Albuquerque Sign Language Academy",458,350012301066,"Public charter school"
"Newport High School",459,330531000342,"Public district school"
"Salem High School (NH)",460,330606000407,"Public district school"
"Paladin Career and Technical High School",465,270034304133,"Public charter school"
"KM Global",467,550351002876,"Public charter school"
"Da Vinci Communications",468,60150513832,"Public charter school"
"Da Vinci Science",469,60241612208,"Public charter school"
"Da Vinci Design",470,60197312410,"Public charter school"
"Woodstock Union Middle/High School",471,500045000395,"Public district school"
"Winooski Middle High School",473,500936000389,"Public district school"
"EdVisions Off Campus School",474,270026103319,"Public charter school"
"Wish Community School",476,60221314196,"Public charter school"
"Paramount Brookside",477,180008602478,"Public charter school"
"Central Queens Academy - Middle School",479,360105606317,"Public charter school"
"Manara Leadership Academy",480,480141513534,"Public charter school"
"Arlington STEM Academy",481,480141513108,"Public charter school"
"Irving Elementary",482,480141512439,"Public charter school"
"Detroit Prep",483,260104808796,"Public charter school"
"Tindley Summit Academy",494,180014802563,"Public charter school"
"PS 13 Clement C Moore",497,360009802081,"Public district school"
"Wilder Middle School",498,160348001091,"Public district school"
"Village High School",499,80192006434,"Public district school"
"Innovations Early College High School",500,490087001422,"Public district school"
"Launch High",501,490039001562,"Public district school"
"Liberty Academy",502,291854001665,"Public district school"
"DREAM Charter School",504,360096406038,"Public charter school"
"Mesita Elementary",507,481830001703,"Public district school"
"ARISE High",508,60246212040,"Public charter school"
"Winton Woods High School",509,390440801018,"Public district school"
"Creativity Challenge Community",510,80336006559,"Public district school"
"Nyos Charter School",511,480005808056,"Public charter school"
"Career Academy High School",517,180010102521,"Public charter school"
"Richland Two Institute of Innovation (R2i2)",518,450339001554,NA
"PS 86 Kingsbridge Heights",519,360008702332,"Public district school"
"Penrose Elementary School",520,80396000516,"Public district school"
"Middle Park High School",521,80432000596,"Public district school"
"Yampa Valley High School",522,80666001924,"Public district school"
"Elevate Academy Caldwell",523,160018901113,"Public charter school"
"Charter School of San Diego",525,60187603939,"Public charter school"
"Crossroads FLEX",526,370472003402,"Public district school"
"Springs Studio for Academic Excellence",527,80387006462,"Public district school"
"KIPP Philadelphia Preparatory Academy",528,420012200758,"Public charter school"
"Brown County High School",529,180096000169,"Public district school"
"Helen S Dunn Elementary School",530,230618000165,"Public district school"
"Arsenal Technical High School",531,180477000801,"Public district school"
"Cabot School",532,500285000074,"Public district school"
"Turrill Elementary School",534,262118005837,"Public district school"
"Mead Senior High School",536,530492000749,"Public district school"
"Northern Cass High School",537,380004400138,"Public district school"
"Enosburg Falls Junior/Senior High School",539,500044400022,"Public district school"
"Clark Street Community School",541,550951002882,"Public charter school"
